#,Name,City,Area
206,"Parc industriel Ville de Donnacona","Donnacona","111,484 m2 / 3,000,000 pi2"
207,"Parc d'affaires de L'Ange-Gardien","L'Ange-Gardien","182,780 m2 / 3,308,215 pi2"
208,"Parc industriel de Rivière-du-Loup","Rivière-du-Loup","120,268 m2 / 14,539,845 pi2"
209,"Zone industrielle de Saint-Laurent","Montréal","1,421,417 m2 / 288,784,953 pi2"
210,"Innoparc Albatros","Saint-Eustache","72,193 m2 / 2,795,320 pi2"
211,"Parc industriel Ludger-Simard","Sorel-Tracy","1,394 m2 / 3,261,098 pi2"
212,"Synercité - Espace industriel de Lachute","Lachute","2,177,165 m2 / 1,600,000 pi2"
213,"Parc industriel Autoroutier (Lachute)","Lachute","371,747 m2 / N/D"
214,"Parc industriel Albert-Landry","Shawinigan","33,528 m2 / 6,532,808 pi2"
215,"Parc Albert-Thibeault","Shawinigan","7,468 m2 / 1,514,836 pi2"
216,"Parc J.-Armand-Foucher","Shawinigan","6,546 m2 / 8,092,297 pi2"
217,"Parc Jacques-Marchand","Shawinigan","8,123 m2 / N/D"
218,"Technoparc de l'Énergie","Shawinigan","121,920 m2 / 9,527,539 pi2"
219,"Parc industriel et portuaire de Bécancour","Bécancour","9,754,819 m2 / 750,000,000 pi2"
220,"Aéroparc industriel de Gatineau","Gatineau","473,141 m2 / 47,008,504 pi2"
221,"Parc scientifique Bromont","Bromont","557,620 m2 / 14,000,000 pi2"
222,"Parc Industriel de la Ville du Lac-Mégantic","Lac-Mégantic","1,090,000 m2 / 23,870,048 pi2"
223,"Parc industriel de Maniwaki","Maniwaki","131,560 m2 / 8,987,865 pi2"
224,"Parc Industriel nord","Montréal","N/D / N/D"
225,"Parc industriel de Saint-Jean-de-Dieu","Saint-Jean-de-Dieu","9,563 m2 / 184,752 pi2"
226,"Parc Industriel Sainte-Catherine-de-la-Jacques-Cartier","Sainte-Catherine","313 m2 / 6,189 pi2"
227,"Olivier-Chalifoux","Saint-Hyacinthe","121,680 m2 / 28,330,585 pi2"
228,"Parc industriel de Cap-Saint-Ignace","Cap-Saint-Ignace","35,099 m2 / 1,115,999 pi2"
229,"Parc d'affaires des entreprises","Sainte-Agathe-des-Monts","N/D / 504,268 pi2"
230,"Parc d'affaires des bâtisseurs","Sainte-Agathe-des-Monts","106,544 m2 / 1,336,501 pi2"
231,"Parc d'affaires Brissette","Sainte-Agathe-des-Monts","1,000,000 m2 / 1,732,990 pi2"
232,"Parc d'affaires Léonard","Sainte-Agathe-des-Monts","150,000 m2 / 1,614,587 pi2"
233,"Parc industriel de Beauceville","Beauceville","438,197 m2 / 15,005,451 pi2"
234,"quartier Cabano - secteur A","Témiscouata-sur-le-Lac","156,730 m2 / 3,568,032 pi2"
235,"quartier Cabano - secteur B","Témiscouata-sur-le-Lac","52,520 m2 / 7,601,678 pi2"
236,"Quartier Notre-Dame-du-Lac - secteur A","Témiscouata-sur-le-Lac","270,186 m2 / 4,449,585 pi2"
237,"Parc industriel autoroutier (Saint-Janvier, Mirabel)","Mirabel","N/D / 11,732,662 pi2"
238,"Parc industriel et commercial du Curé-Labelle (Saint-Janvier, Mirabel)","Mirabel","N/D / 4,356,155 pi2"
239,"Développement rue des Gouverneurs (Domaine -Vert Nord, Mirabel)","Mirabel","46,500 m2 / 1,862,157 pi2"
240,"Parc industriel Saint-Augustin (Mirabel)","Mirabel","N/D / 1,339,030 pi2"
241,"Parc indsutriel Aéroportuaire","Mirabel","3,220,000 m2 / 56,187,612 pi2"
